epoch,train_loss,val_loss,val_miou,val_f1,val_recall,val_precision,best_val_loss,best_val_miou,best_epoch,best_model_path
1,0.496637,0.499827,0.198123,0.199179,0.200060,0.203475,0.499827,0.198123,1,checkpoints\unet\MADOS\best_model_20260724_015530.pth
2,0.458677,0.504921,0.198119,0.199156,0.200058,0.199794,0.499827,0.198123,1,checkpoints\unet\MADOS\best_model_20260724_015530.pth
3,0.437286,0.506809,0.198156,0.199225,0.200095,0.202650,0.499827,0.198156,3,checkpoints\unet\MADOS\best_model_20260724_015530.pth
4,0.424102,0.505982,0.198181,0.199300,0.200129,0.199957,0.499827,0.198181,4,checkpoints\unet\MADOS\best_model_20260724_015530.pth
5,0.430495,0.507113,0.198200,0.199322,0.200144,0.201322,0.499827,0.198200,5,checkpoints\unet\MADOS\best_model_20260724_015530.pth
6,0.414128,0.502137,0.198133,0.199180,0.200072,0.200813,0.499827,0.198200,5,checkpoints\unet\MADOS\best_model_20260724_015530.pth
7,0.414369,0.508082,0.198162,0.199270,0.200109,0.199686,0.499827,0.198200,5,checkpoints\unet\MADOS\best_model_20260724_015530.pth
8,0.407160,0.505225,0.198121,0.199196,0.200063,0.199644,0.499827,0.198200,5,checkpoints\unet\MADOS\best_model_20260724_015530.pth
9,0.398198,0.508927,0.198110,0.199127,0.200047,0.202543,0.499827,0.198200,5,checkpoints\unet\MADOS\best_model_20260724_015530.pth
10,0.391313,0.506121,0.198095,0.199093,0.200032,0.208290,0.499827,0.198200,5,checkpoints\unet\MADOS\best_model_20260724_015530.pth
11,0.370741,0.505403,0.198074,0.199049,0.200011,0.219492,0.499827,0.198200,5,checkpoints\unet\MADOS\best_model_20260724_015530.pth
12,0.357184,0.507968,0.198091,0.199085,0.200028,0.203032,0.499827,0.198200,5,checkpoints\unet\MADOS\best_model_20260724_015530.pth
13,0.358415,0.505844,0.198063,0.199027,0.200000,0.198063,0.499827,0.198200,5,checkpoints\unet\MADOS\best_model_20260724_015530.pth
14,0.349760,0.502037,0.198063,0.199027,0.200000,0.198063,0.499827,0.198200,5,checkpoints\unet\MADOS\best_model_20260724_015530.pth
15,0.352090,0.506662,0.198063,0.199027,0.200000,0.198063,0.499827,0.198200,5,checkpoints\unet\MADOS\best_model_20260724_015530.pth
16,0.346060,0.505116,0.198063,0.199027,0.200000,0.198063,0.499827,0.198200,5,checkpoints\unet\MADOS\best_model_20260724_015530.pth
17,0.331448,0.504346,0.198063,0.199027,0.200000,0.198063,0.499827,0.198200,5,checkpoints\unet\MADOS\best_model_20260724_015530.pth
18,0.330316,0.496742,0.198063,0.199027,0.200000,0.198063,0.496742,0.198200,5,checkpoints\unet\MADOS\best_model_20260724_015530.pth
19,0.324913,0.506247,0.198063,0.199027,0.200000,0.198063,0.496742,0.198200,5,checkpoints\unet\MADOS\best_model_20260724_015530.pth
20,0.328934,0.467300,0.198063,0.199027,0.200000,0.198063,0.467300,0.198200,5,checkpoints\unet\MADOS\best_model_20260724_015530.pth
21,0.324860,0.506235,0.198063,0.199027,0.200000,0.198063,0.467300,0.198200,5,checkpoints\unet\MADOS\best_model_20260724_015530.pth
22,0.320307,0.505109,0.198063,0.199027,0.200000,0.198063,0.467300,0.198200,5,checkpoints\unet\MADOS\best_model_20260724_015530.pth
23,0.314594,0.505917,0.198074,0.199049,0.200011,0.264730,0.467300,0.198200,5,checkpoints\unet\MADOS\best_model_20260724_015530.pth
24,0.310152,0.498226,0.198063,0.199027,0.200000,0.198063,0.467300,0.198200,5,checkpoints\unet\MADOS\best_model_20260724_015530.pth
25,0.314913,0.504916,0.198063,0.199027,0.200000,0.198063,0.467300,0.198200,5,checkpoints\unet\MADOS\best_model_20260724_015530.pth
26,0.312910,0.505638,0.198063,0.199027,0.200000,0.198063,0.467300,0.198200,5,checkpoints\unet\MADOS\best_model_20260724_015530.pth
27,0.309441,0.501469,0.198063,0.199027,0.200000,0.198063,0.467300,0.198200,5,checkpoints\unet\MADOS\best_model_20260724_015530.pth
28,0.299951,0.453315,0.198063,0.199027,0.200000,0.198063,0.453315,0.198200,5,checkpoints\unet\MADOS\best_model_20260724_015530.pth
29,0.300480,0.501640,0.198063,0.199027,0.200000,0.198063,0.453315,0.198200,5,checkpoints\unet\MADOS\best_model_20260724_015530.pth
30,0.293427,0.478692,0.198063,0.199027,0.200000,0.198063,0.453315,0.198200,5,checkpoints\unet\MADOS\best_model_20260724_015530.pth
31,0.291784,0.477608,0.198063,0.199027,0.200000,0.198063,0.453315,0.198200,5,checkpoints\unet\MADOS\best_model_20260724_015530.pth
32,0.287548,0.492922,0.198063,0.199027,0.200000,0.198063,0.453315,0.198200,5,checkpoints\unet\MADOS\best_model_20260724_015530.pth
33,0.290044,0.489361,0.198063,0.199027,0.200000,0.198063,0.453315,0.198200,5,checkpoints\unet\MADOS\best_model_20260724_015530.pth
34,0.285223,0.463711,0.198063,0.199027,0.200000,0.198063,0.453315,0.198200,5,checkpoints\unet\MADOS\best_model_20260724_015530.pth
35,0.279757,0.442956,0.198063,0.199027,0.200000,0.198063,0.442956,0.198200,5,checkpoints\unet\MADOS\best_model_20260724_015530.pth
36,0.281011,0.455704,0.198074,0.199049,0.200011,0.213448,0.442956,0.198200,5,checkpoints\unet\MADOS\best_model_20260724_015530.pth
37,0.272396,0.451769,0.198081,0.199063,0.200018,0.205526,0.442956,0.198200,5,checkpoints\unet\MADOS\best_model_20260724_015530.pth
38,0.269402,0.494590,0.198067,0.199034,0.200004,0.209828,0.442956,0.198200,5,checkpoints\unet\MADOS\best_model_20260724_015530.pth
39,0.275427,0.445788,0.198066,0.199034,0.200003,0.200146,0.442956,0.198200,5,checkpoints\unet\MADOS\best_model_20260724_015530.pth
40,0.280025,0.432962,0.198063,0.199027,0.200000,0.198063,0.432962,0.198200,5,checkpoints\unet\MADOS\best_model_20260724_015530.pth
41,0.275382,0.429223,0.198063,0.199027,0.200000,0.198063,0.429223,0.198200,5,checkpoints\unet\MADOS\best_model_20260724_015530.pth
42,0.269974,0.495322,0.198063,0.199027,0.200000,0.198063,0.429223,0.198200,5,checkpoints\unet\MADOS\best_model_20260724_015530.pth
43,0.271557,0.480790,0.198063,0.199027,0.200000,0.198063,0.429223,0.198200,5,checkpoints\unet\MADOS\best_model_20260724_015530.pth
