epoch,train_loss,val_loss,val_miou,val_f1,val_recall,val_precision,best_val_loss,best_val_miou,best_epoch,best_model_path
1,0.497322,0.494882,0.014957,0.027945,0.404313,0.212521,0.494882,0.014957,1,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
2,0.496770,0.499165,0.126964,0.157306,0.381883,0.201234,0.494882,0.126964,2,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
3,0.496899,0.494289,0.188715,0.217147,0.350958,0.217898,0.494289,0.188715,3,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
4,0.496632,0.494419,0.193154,0.223390,0.454734,0.220679,0.494289,0.193154,4,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
5,0.496272,0.494825,0.163905,0.193086,0.340283,0.209820,0.494289,0.193154,4,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
6,0.495983,0.494273,0.183503,0.211884,0.341232,0.215829,0.494273,0.193154,4,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
7,0.495750,0.494937,0.188009,0.214342,0.347354,0.215686,0.494273,0.193154,4,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
8,0.495953,0.495150,0.184145,0.207599,0.347631,0.211759,0.494273,0.193154,4,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
9,0.495845,0.493346,0.233896,0.270448,0.316997,0.254850,0.493346,0.233896,9,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
10,0.497129,0.494960,0.190345,0.218520,0.346418,0.218327,0.493346,0.233896,9,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
11,0.495668,0.494117,0.193571,0.223188,0.352836,0.220983,0.493346,0.233896,9,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
12,0.495881,0.493804,0.217173,0.244945,0.364644,0.230218,0.493346,0.233896,9,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
13,0.496097,0.494063,0.250684,0.289442,0.306985,0.279563,0.493346,0.250684,13,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
14,0.495576,0.494846,0.196996,0.223440,0.358605,0.219350,0.493346,0.250684,13,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
15,0.496174,0.493922,0.214238,0.239686,0.358765,0.226078,0.493346,0.250684,13,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
16,0.495360,0.493727,0.217795,0.250622,0.338950,0.236491,0.493346,0.250684,13,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
17,0.496006,0.493954,0.218834,0.251242,0.344639,0.236272,0.493346,0.250684,13,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
18,0.495282,0.494441,0.192114,0.220575,0.371754,0.219241,0.493346,0.250684,13,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
19,0.495545,0.493678,0.218037,0.247448,0.362401,0.231638,0.493346,0.250684,13,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
20,0.495406,0.494573,0.193761,0.221050,0.366020,0.218795,0.493346,0.250684,13,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
21,0.495223,0.494169,0.214343,0.245628,0.358120,0.232617,0.493346,0.250684,13,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
22,0.494968,0.494063,0.206239,0.235870,0.364189,0.226592,0.493346,0.250684,13,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
23,0.494153,0.493838,0.201812,0.230329,0.389404,0.223949,0.493346,0.250684,13,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
24,0.491967,0.494215,0.218201,0.248420,0.333855,0.233868,0.493346,0.250684,13,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
25,0.488025,0.493359,0.235837,0.266417,0.342705,0.244490,0.493346,0.250684,13,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
26,0.483199,0.492467,0.235504,0.267368,0.347918,0.245251,0.492467,0.250684,13,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
27,0.480978,0.493841,0.244719,0.276975,0.330572,0.255389,0.492467,0.250684,13,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
28,0.479995,0.486943,0.232657,0.268062,0.407833,0.242975,0.486943,0.250684,13,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
29,0.479833,0.490113,0.237139,0.272392,0.368200,0.248573,0.486943,0.250684,13,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
30,0.475348,0.488636,0.232838,0.268014,0.391135,0.244065,0.486943,0.250684,13,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
31,0.477935,0.489761,0.240004,0.277424,0.369213,0.254410,0.486943,0.250684,13,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
32,0.473966,0.486138,0.240122,0.281514,0.402916,0.256536,0.486138,0.250684,13,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
33,0.474089,0.489432,0.245427,0.287924,0.379790,0.279850,0.486138,0.250684,13,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
34,0.471757,0.488004,0.238731,0.280780,0.391209,0.267187,0.486138,0.250684,13,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
35,0.472125,0.487750,0.250771,0.296515,0.386084,0.287636,0.486138,0.250771,35,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
36,0.473626,0.489462,0.231983,0.272457,0.382392,0.286466,0.486138,0.250771,35,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
37,0.470274,0.490348,0.228663,0.265057,0.378170,0.256733,0.486138,0.250771,35,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
38,0.470488,0.485286,0.244478,0.290026,0.411590,0.268392,0.485286,0.250771,35,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
39,0.469147,0.488996,0.246215,0.288537,0.374494,0.279034,0.485286,0.250771,35,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
40,0.472828,0.482166,0.242361,0.287392,0.437630,0.258972,0.482166,0.250771,35,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
